name,matches,innings_batted,not_outs,runs_scored,balls_faced,fours,sixes,high_score,centuries,fifties,innings_bowled,balls_bowled,runs_conceded,wickets,5_wickets,best_bowling_wickets,best_bowling_runs,dismissals,batting_avg,batting_sr,bowling_economy,bowling_avg,identifier,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,catches,stumpings,run_outs_involved
Akash Singh,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,205.0,326.0,9.0,0.0,2.0,30.0,0.0,0.0,0.0,9.54,36.22,b483905d,Akash Singh,2017a66731ead35311e792a5028d29d,,,,,,1175458.0,,,,,,,,,,,,,1,0,0
Aman Hakim Khan,10.0,10.0,1.0,115.0,104.0,8.0,6.0,51.0,0.0,1.0,1.0,6.0,13.0,0.0,0.0,0.0,13.0,9.0,12.78,110.58,13.0,0.0,378daa89,Aman Hakim Khan,O0iJQJKihGXVJLii1JCbIAIzeycOUie,,,,,,1254269.0,,,,,,,,,,,,,9,0,0
Anand Rajan,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,149.0,201.0,8.0,0.0,3.0,27.0,0.0,0.0,0.0,8.09,25.12,d2340a43,Anand Rajan,,,,,,,26797.0,,,,,,,,,,,31.0,,3,0,2
Aniket Verma,12.0,12.0,3.0,236.0,142.0,12.0,20.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,9.0,26.22,166.2,0.0,0.0,a3b0600d,Aniket Verma,,,,,,,1409976.0,,,,,,,,,,,,,6,0,1
Anirudh Singh,4.0,4.0,0.0,63.0,66.0,6.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,4.0,15.75,95.45,0.0,0.0,7bb62642,Anirudh Singh,,,,,,,26252.0,,,,,,,,,,,,,3,0,0
Ankit Sharma,21.0,10.0,3.0,87.0,67.0,7.0,4.0,30.0,0.0,0.0,21.0,367.0,450.0,12.0,0.0,2.0,20.0,7.0,12.43,129.85,7.36,37.5,24d94623,Ankit Sharma,ciiJbIeiUeJAQXJyihi01LKJzCOIVGO,,,,,,422992.0,,,,,,,,,,,32.0,,4,0,0
Ankit Soni,6.0,3.0,1.0,7.0,9.0,0.0,1.0,7.0,0.0,0.0,6.0,109.0,144.0,2.0,0.0,1.0,16.0,2.0,3.5,77.78,7.93,72.0,f18ba07f,Ankit Soni,,,,,,,1083128.0,,,,,,,,,,,4320.0,,1,0,0
Anmolpreet Singh,9.0,9.0,0.0,139.0,115.0,19.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,9.0,15.44,120.87,0.0,0.0,1399b39c,Anmolpreet Singh,KzQJ1ehGACiO0cbOViiXiLIyJIiUJeJ,,,,,,851261.0,,,,,,,,,,,2965.0,,2,0,0
Anuj Rawat,21.0,21.0,5.0,318.0,267.0,26.0,14.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,16.0,19.88,119.1,0.0,0.0,c8f5f961,Anuj Rawat,ACKIeUOzI0iJihebicGLQyXJJ1VOJii,,,,,,1123073.0,,,,,,,,,,,,,18,0,2
Anureet Singh,22.0,8.0,4.0,36.0,47.0,2.0,1.0,15.0,0.0,0.0,22.0,412.0,623.0,18.0,0.0,3.0,23.0,4.0,9.0,76.6,9.07,34.61,69be866a,Anureet Singh,eiJhizU0LyiQGOIOCiJAKXiVbJcJI1e,,,,,,376324.0,,,,,,,,,,,412.0,,5,0,1
Arjun Tendulkar,5.0,1.0,0.0,13.0,9.0,0.0,1.0,13.0,0.0,0.0,5.0,73.0,114.0,3.0,0.0,1.0,9.0,1.0,13.0,144.44,9.37,38.0,44aac2f0,Arjun Tendulkar,0iGiOcIKzCh1AeIeJiJiVLUQibOJJXy,,,,,,1148776.0,,,,,,,,,,,,,0,0,0
Arshad Khan,18.0,10.0,5.0,119.0,84.0,5.0,9.0,58.0,0.0,1.0,18.0,260.0,497.0,12.0,0.0,3.0,39.0,5.0,23.8,141.67,11.47,41.42,0a4c6dfd,Arshad Khan,,,,,,,39005.0,,,,2123.0,,,,,,,,,7,0,0
Arshad Khan,18.0,10.0,5.0,119.0,84.0,5.0,9.0,58.0,0.0,1.0,18.0,260.0,497.0,12.0,0.0,3.0,39.0,5.0,23.8,141.67,11.47,41.42,12314277,Arshad Khan (2),,,,,,,1244751.0,,,,,,,,,,,,,7,0,0
Arshad Khan (2),1.0,1.0,0.0,5.0,4.0,1.0,0.0,5.0,0.0,0.0,1.0,12.0,24.0,0.0,0.0,0.0,24.0,1.0,5.0,125.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0
Arshdeep Singh,81.0,13.0,7.0,31.0,46.0,4.0,0.0,10.0,0.0,0.0,81.0,1714.0,2570.0,97.0,1.0,5.0,32.0,6.0,5.17,67.39,9.0,26.49,244048f6,Arshdeep Singh,iQeIbXAcUiLihJ0yJeVOJOiJiC1KGIz,,,,,,1125976.0,,,,1732022.0,,,,,,,4698.0,,16,0,4
Ashok Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
Ashutosh Sharma,18.0,18.0,4.0,393.0,240.0,24.0,28.0,66.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,14.0,28.07,163.75,0.0,0.0,84d9c311,Ashutosh Sharma,JbeIILJUJQGJiA0zeKicyOXihCViO1i,,,,,,1131978.0,,,,,,,,,,,,,4,0,0
Ashwani Kumar,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,123.0,232.0,11.0,0.0,4.0,24.0,0.0,0.0,0.0,11.32,21.09,d45c29b1,Ashwani Kumar,,,,,,,1209126.0,,,,,,,,,,,,,2,0,0
Atharva Taide,10.0,10.0,0.0,260.0,177.0,30.0,8.0,66.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,10.0,26.0,146.89,24.0,0.0,1ac746c8,Atharva Taide,KIGieiAOXJbL1IizVcJiyUJhJ0QiOeC,,,,,,1125958.0,,,,,,,,,,,,,5,0,0
Avesh Khan,75.0,13.0,10.0,62.0,37.0,6.0,4.0,19.0,0.0,0.0,75.0,1619.0,2461.0,88.0,0.0,4.0,24.0,3.0,20.67,167.57,9.12,27.97,eef2536f,Avesh Khan,ciiJiIJiLhJbAz1OI0JyKVUeXeOGQCi,,,,,,694211.0,,,,1177686.0,,,,,,,1561.0,,13,0,2
Azhar Mahmood,23.0,21.0,2.0,388.0,303.0,39.0,13.0,80.0,0.0,2.0,23.0,537.0,700.0,29.0,0.0,3.0,20.0,19.0,20.42,128.05,7.82,24.14,9a158001,Azhar Mahmood,,,,,,,39024.0,,,,4167.0,,,,,,,194.0,,8,0,1
Azmatullah Omarzai,15.0,9.0,1.0,99.0,74.0,8.0,5.0,21.0,0.0,0.0,15.0,288.0,465.0,12.0,0.0,2.0,27.0,8.0,12.38,133.78,9.69,38.75,8f6dd463,Azmatullah Omarzai,,,,,,,819429.0,,,,,,,,,,,4823.0,,1,0,0
B Akhil,15.0,11.0,5.0,76.0,55.0,5.0,5.0,27.0,0.0,0.0,13.0,188.0,242.0,6.0,0.0,2.0,17.0,6.0,12.67,138.18,7.72,40.33,af7dadf7,B Akhil,,,,,,,26206.0,,,,,,,,,,,,,3,0,1
B Aparajith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
B Chipli,21.0,21.0,6.0,280.0,251.0,28.0,7.0,61.0,0.0,1.0,1.0,6.0,20.0,0.0,0.0,0.0,20.0,15.0,18.67,111.55,20.0,0.0,5451a2c1,B Chipli,,,,,,,27685.0,,,,,,,,,,,35.0,,4,0,0
B Geeves,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,91.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,11.38,91.0,50758325,B Geeves,,,,,,,5472.0,,,,,,,,,,,,,3,0,0
B Indrajith,3.0,3.0,0.0,21.0,30.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,7.0,70.0,0.0,0.0,ff1e68fa,B Indrajith,JieiXec1OKAOIiiQh0UziLIbJyCVJJG,,,,,,477069.0,,,,,,,,,,,,,1,0,1
B Kumar,190.0,71.0,33.0,320.0,351.0,31.0,3.0,27.0,0.0,0.0,190.0,4222.0,5412.0,198.0,2.0,5.0,19.0,38.0,8.42,91.17,7.69,27.33,2e81a32d,B Kumar,yJUcXziCJOGLbJeViK1IiihIQOJie0A,,,,,,326016.0,,,,243427.0,,,,,,,116.0,,38,0,8
B Laughlin,9.0,4.0,2.0,5.0,13.0,0.0,0.0,4.0,0.0,0.0,9.0,168.0,282.0,10.0,0.0,2.0,15.0,2.0,2.5,38.46,10.07,28.2,b2a79f17,B Laughlin,,,4298.0,,,,315623.0,,,,140646.0,,,,,,,921.0,,1,0,0
B Lee,38.0,19.0,9.0,124.0,97.0,8.0,8.0,25.0,0.0,0.0,38.0,875.0,1095.0,25.0,0.0,3.0,15.0,10.0,12.4,127.84,7.51,43.8,dd09ff8e,B Lee,,,,,,,6278.0,,,,5951.0,,,,,,,196.0,,10,0,6
B Sai Sudharsan,40.0,40.0,4.0,1793.0,1229.0,183.0,53.0,108.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,36.0,49.81,145.89,0.0,0.0,d5130a30,B Sai Sudharsan,20167c1304259cec11e69558028d29d,,,,,,1151288.0,,,,,,,,,,,,,10,0,1
B Stanlake,6.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,0.0,0.0,6.0,144.0,200.0,7.0,0.0,2.0,21.0,0.0,5.0,250.0,8.33,28.57,6834d1f2,B Stanlake,,,7073.0,,,,533042.0,,,,1073273.0,,,,,,,1521.0,,1,0,0
B Sumanth,4.0,4.0,3.0,35.0,37.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,35.0,94.59,0.0,0.0,f4f0fafd,B Sumanth,,,,,,,253798.0,,,,,,,,,,,,,4,0,0
BA Bhatt,15.0,2.0,1.0,6.0,7.0,0.0,1.0,6.0,0.0,0.0,15.0,296.0,397.0,12.0,0.0,4.0,22.0,1.0,6.0,85.71,8.05,33.08,dc4686e6,BA Bhatt,VXQiGizCecJA1OJOJbehyiiJ0UIiLIK,,,,,,433410.0,,,,,,,,,,,68.0,,1,0,0
BA Stokes,45.0,43.0,5.0,935.0,698.0,81.0,32.0,107.0,2.0,2.0,38.0,689.0,992.0,28.0,0.0,3.0,15.0,38.0,24.61,133.95,8.64,35.43,e087956b,BA Stokes,,,,,,,311158.0,,,11241.0,180612.0,,,,,,,1154.0,,23,0,2
BAW Mendis,10.0,3.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,10.0,244.0,303.0,8.0,0.0,2.0,22.0,2.0,1.5,50.0,7.45,37.88,ea0cdc12,BAW Mendis,,,,,,,268739.0,,,,142472.0,,,,,,,358.0,,2,0,0
BB McCullum,109.0,109.0,5.0,2882.0,2190.0,293.0,130.0,158.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,104.0,27.71,131.6,0.0,0.0,b8a55852,BB McCullum,,,,,,,37737.0,,,,10263.0,,,5d52b90b-dbd2-4f38-9033-3ce0009b9e6e,,,,202.0,,38,6,14
BB Samantray,8.0,8.0,3.0,125.0,113.0,13.0,2.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,5.0,25.0,110.62,0.0,0.0,53f27a35,BB Samantray,1JJiXzUOiOJJQceiiehLiGbKyIIAVC0,,,,,,430125.0,,,,,,,,,,,249.0,,3,0,1
BB Sran,24.0,7.0,6.0,10.0,14.0,0.0,0.0,3.0,0.0,0.0,24.0,483.0,757.0,18.0,0.0,3.0,28.0,1.0,10.0,71.43,9.4,42.06,d8b2f218,BB Sran,JQIiXcOeJeCb1iiJVAU0JiihGLyOKIz,,,,,,537126.0,,,,,,,,,,,2746.0,,4,0,2
BCJ Cutting,21.0,17.0,6.0,238.0,141.0,15.0,19.0,39.0,0.0,0.0,17.0,281.0,429.0,10.0,0.0,2.0,20.0,11.0,21.64,168.79,9.16,42.9,2e11c706,BCJ Cutting,,,5199.0,,,,230371.0,,,13493.0,97657.0,,,,,,,913.0,,10,0,2
BE Hendricks,7.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,150.0,235.0,9.0,0.0,3.0,36.0,1.0,1.0,33.33,9.4,26.11,b56dc5f7,BE Hendricks,,,,,,,379927.0,,,,392147.0,,855.0,,,,,1752.0,,3,0,0
BJ Haddin,1.0,1.0,0.0,18.0,11.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,18.0,163.64,0.0,0.0,b0c772ee,BJ Haddin,,,,,,,5560.0,,,,6409.0,,,,,,,195.0,,0,0,0
BJ Hodge,63.0,63.0,21.0,1400.0,1118.0,122.0,43.0,73.0,0.0,6.0,20.0,234.0,303.0,17.0,0.0,4.0,13.0,42.0,33.33,125.22,7.77,17.82,b57f8a9a,BJ Hodge,,,,,,,5674.0,,,,6237.0,,,,,,,229.0,,22,0,5
BJ Rohrer,8.0,8.0,2.0,193.0,141.0,21.0,5.0,64.0,0.0,1.0,1.0,6.0,12.0,0.0,0.0,0.0,12.0,6.0,32.17,136.88,12.0,0.0,27af6414,BJ Rohrer,,,,,,,7547.0,,,,,,,,,,,647.0,,3,0,2
BKG Mendis,1.0,1.0,0.0,20.0,10.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,20.0,200.0,0.0,0.0,5d1e7582,BKG Mendis,,,,,,,629074.0,,,,1333287.0,,,,,,,1670.0,,1,0,0
BMAJ Mendis,3.0,3.0,0.0,23.0,27.0,0.0,0.0,12.0,0.0,0.0,2.0,30.0,36.0,1.0,0.0,1.0,16.0,3.0,7.67,85.19,7.2,36.0,9868bc75,BMAJ Mendis,,,,,,,49700.0,,,,,,,,,,,503.0,,2,0,1
BR Dunk,3.0,3.0,0.0,40.0,35.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,13.33,114.29,0.0,0.0,272d796e,BR Dunk,,,5970.0,,,,388678.0,,,14145.0,98336.0,,,,,,,918.0,,4,0,0
BR Sharath,1.0,1.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,40.0,0.0,0.0,c2dd89ea,BR Sharath,XieI1hLIOKeUzbA0VOCJJiJiQGiciyJ,,,,,,917231.0,,,,,,,,,,,,,1,0,0
BW Hilfenhaus,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,372.0,479.0,22.0,0.0,3.0,27.0,0.0,0.0,0.0,7.73,21.77,f3171936,BW Hilfenhaus,,,,,,,5941.0,,,,44244.0,,,,,,,17.0,,1,0,1
Basil Thampi,25.0,7.0,6.0,32.0,35.0,1.0,1.0,13.0,0.0,0.0,25.0,521.0,846.0,22.0,0.0,3.0,29.0,1.0,32.0,91.43,9.74,38.45,871e9faf,Basil Thampi,iiICUQKhAJyb1iVGJIiOzL0eXJeciJO,,,,,,732291.0,,,,1389503.0,,,,,,,3825.0,,5,0,1
Bipul Sharma,29.0,17.0,9.0,187.0,123.0,11.0,9.0,35.0,0.0,0.0,28.0,426.0,572.0,17.0,0.0,2.0,13.0,8.0,23.38,152.03,8.06,33.65,c18496e1,Bipul Sharma,VOicAKiJICG0ieUOheb1zIJyXJiiQJL,,,,,,35928.0,,,,,,,,,,,69.0,,7,0,3
C Bosch,3.0,2.0,0.0,47.0,32.0,3.0,3.0,27.0,0.0,0.0,2.0,42.0,55.0,1.0,0.0,1.0,26.0,2.0,23.5,146.88,7.86,55.0,172dff15,C Bosch,,,,,,,594322.0,,,,1373093.0,,48789.0,,,,,1666.0,,2,0,0
C Ganapathy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,798934ea,C Ganapathy,,,,,,,28764.0,,,,,,,,,,,,,0,0,0
C Green,29.0,28.0,11.0,707.0,460.0,62.0,32.0,100.0,1.0,2.0,29.0,439.0,664.0,16.0,0.0,2.0,12.0,17.0,41.59,153.7,9.08,41.5,eaa76d3c,C Green,,,10749.0,,,,1076713.0,,,,1954708.0,,,387bfaf3-148c-44c7-8f04-d54400928c34,,,,4093.0,,10,0,3
C Madan,1.0,1.0,0.0,15.0,19.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,15.0,78.95,0.0,0.0,2eeb4370,C Madan,,,,,,,31104.0,,,,,,,,,,,,,0,0,1
C Munro,12.0,11.0,0.0,177.0,141.0,19.0,8.0,40.0,0.0,0.0,2.0,12.0,15.0,0.0,0.0,0.0,7.0,11.0,16.09,125.53,7.5,0.0,af2c687b,C Munro,,,5160.0,8085.0,,,232359.0,,,12585.0,97633.0,,,1a8dc710-4a68-4deb-8853-7614e1e491e5,,,,773.0,,4,0,0
C Nanda,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,57.0,2.0,0.0,1.0,4.0,1.0,0.0,0.0,7.12,28.5,f24ca2ba,C Nanda,,,,,,,32093.0,,,,,,,,,,,,,0,0,0
C Sakariya,20.0,7.0,1.0,20.0,31.0,3.0,0.0,7.0,0.0,0.0,20.0,444.0,638.0,20.0,0.0,3.0,31.0,6.0,3.33,64.52,8.62,31.9,2cdce1be,C Sakariya,yK0eOAGiO1JVQIeIbULiCXhiiciJJzJ,,,,,,1131754.0,,,,,,,,,,,11062.0,,6,0,0
C de Grandhomme,25.0,21.0,5.0,303.0,225.0,18.0,18.0,40.0,0.0,0.0,19.0,216.0,319.0,6.0,0.0,3.0,4.0,16.0,18.94,134.67,8.86,53.17,94d7f855,C de Grandhomme,,,,,,,55395.0,,,,62222.0,,,c6f02f9e-b896-4bdc-b9b4-7e5fea6a6c9b,,,,820.0,,6,0,1
CA Ingram,15.0,15.0,3.0,205.0,180.0,22.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,12.0,17.08,113.89,0.0,0.0,c995d726,CA Ingram,,,4876.0,,,,45705.0,,,13533.0,70877.0,,,7cb214a6-ffe8-4b79-90a7-dca875eebf95,,,,168.0,,1,0,0
CA Lynn,42.0,42.0,3.0,1329.0,945.0,132.0,66.0,93.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,39.0,34.08,140.63,0.0,0.0,45eda7c8,CA Lynn,,,5075.0,,,,326637.0,,,14142.0,158662.0,,,,,,,179.0,,12,0,0
CA Pujara,22.0,22.0,3.0,390.0,391.0,50.0,4.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,19.0,20.53,99.74,0.0,0.0,d4f9dbd4,CA Pujara,UCicVJJX0IGQiObeKJ1IOLeiAizhyiJ,,,,,,32540.0,,,,17473.0,,,,,,,156.0,,6,0,0
CH Gayle,141.0,141.0,16.0,4997.0,3346.0,408.0,359.0,175.0,6.0,32.0,38.0,554.0,729.0,18.0,0.0,3.0,21.0,125.0,39.98,149.34,7.9,40.5,db584dad,CH Gayle,,,,,,,51880.0,,,,7537.0,,,,,,,236.0,,30,0,0
CH Morris,81.0,49.0,21.0,618.0,398.0,41.0,35.0,82.0,0.0,2.0,81.0,1726.0,2309.0,96.0,0.0,4.0,23.0,28.0,22.07,155.28,8.03,24.05,fb66ce1f,CH Morris,,,5887.0,,,,439952.0,,,,921899.0,,,,,,,836.0,,38,0,4
CJ Anderson,30.0,29.0,7.0,538.0,423.0,40.0,31.0,95.0,0.0,3.0,22.0,297.0,518.0,11.0,0.0,2.0,18.0,22.0,24.45,127.19,10.46,47.09,4cd5c9d6,Carl Anderson,,,,,,,36189.0,,,,,,,,,,,,,11,0,0
CJ Anderson,30.0,29.0,7.0,538.0,423.0,40.0,31.0,95.0,0.0,3.0,22.0,297.0,518.0,11.0,0.0,2.0,18.0,22.0,24.45,127.19,10.46,47.09,8abdf100,CJ Anderson,,,,,,,277662.0,,,,159057.0,,,27841122-e944-405c-abd8-7b6cf03ecc80,,,,968.0,,11,0,0
CJ Dala,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,11.33,0.0,1cb14aa4,CJ Dala,,,,,,,545467.0,,,,1201377.0,,47568.0,,,,,4277.0,,0,0,0
CJ Ferguson,8.0,8.0,2.0,98.0,117.0,9.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,6.0,16.33,83.76,0.0,0.0,9b4935c8,CJ Ferguson,,,4284.0,,,,5236.0,,,,26530.0,,,,,,,218.0,,2,0,0
CJ Green,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.47,0.0,19b9f399,CJ Green,,,7532.0,,,,787073.0,,,,1607805.0,,,67c0250f-31ca-4173-8dd4-1c73b1033ea2,,,,3803.0,,1,0,0
CJ Jordan,34.0,12.0,2.0,81.0,77.0,3.0,3.0,30.0,0.0,0.0,34.0,674.0,1081.0,30.0,0.0,4.0,11.0,10.0,8.1,105.19,9.62,36.03,ffe699c0,CJ Jordan,,,3870.0,,,,288992.0,,,11246.0,113651.0,,,,,,,1299.0,,15,0,2
CJ McKay,2.0,1.0,0.0,8.0,15.0,0.0,0.0,8.0,0.0,0.0,2.0,42.0,60.0,1.0,0.0,1.0,36.0,1.0,8.0,53.33,8.57,60.0,94eac556,CJ McKay,,,,,,,6903.0,,,,62688.0,,,,,,,207.0,,0,0,0
CK Kapugedera,4.0,3.0,0.0,16.0,23.0,0.0,0.0,8.0,0.0,0.0,3.0,17.0,49.0,0.0,0.0,0.0,8.0,3.0,5.33,69.57,17.29,0.0,cfad138c,CK Kapugedera,,,,,,,209457.0,,,,75657.0,,,,,,,353.0,,4,0,0
CK Langeveldt,7.0,2.0,0.0,8.0,9.0,0.0,1.0,8.0,0.0,0.0,7.0,156.0,187.0,13.0,0.0,3.0,15.0,2.0,4.0,88.89,7.19,14.38,d1c94b25,CK Langeveldt,,,,,,,45963.0,,,,7509.0,,,,,,,235.0,,0,0,0
CL White,45.0,45.0,9.0,971.0,760.0,76.0,38.0,78.0,0.0,6.0,6.0,42.0,86.0,1.0,0.0,1.0,14.0,36.0,26.97,127.76,12.29,86.0,d0513f63,CL White,,,3325.0,,,,8291.0,,,,11866.0,,,,,,,178.0,,22,0,4
CM Gautam,13.0,13.0,3.0,169.0,150.0,17.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,10.0,16.9,112.67,0.0,0.0,30a2649b,CM Gautam,eJiC1OOiziQV0LhcGIJbJyeKIJXUiiA,,,,,,302208.0,,,,,,,,,,,155.0,,3,4,2
CR Brathwaite,16.0,14.0,1.0,181.0,111.0,10.0,16.0,43.0,0.0,0.0,16.0,254.0,379.0,13.0,0.0,3.0,47.0,13.0,13.92,163.06,8.95,29.15,e342e5fb,CR Brathwaite,,,4949.0,,,,457249.0,,,12325.0,302557.0,,,,,,,2722.0,,6,0,1
CR Woakes,21.0,12.0,6.0,78.0,77.0,7.0,2.0,18.0,0.0,0.0,21.0,440.0,658.0,30.0,0.0,3.0,6.0,6.0,13.0,101.3,8.97,21.93,4c5d73db,CR Woakes,,,,,,,247235.0,,,11240.0,89869.0,,,30aed493-7405-c742-81a2-cf70dd99f3ea,36f0b5b7-53f1-4309-a1bb-f8103fdf82f5,,,967.0,,7,0,0
CRD Fernando,10.0,2.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,10.0,234.0,298.0,17.0,0.0,4.0,18.0,0.0,4.0,133.33,7.64,17.53,342d8ade,CRD Fernando,,,,,,,48835.0,,,,11122.0,,,,,,,345.0,,3,0,1
CV Varun,83.0,11.0,7.0,26.0,47.0,2.0,0.0,10.0,0.0,0.0,83.0,1888.0,2385.0,100.0,1.0,5.0,20.0,4.0,6.5,55.32,7.58,23.85,5b7ab5a9,CV Varun,,,,,,,1108375.0,,,,2236878.0,,,,,,,5432.0,,16,0,3
D Brevis,16.0,16.0,0.0,455.0,297.0,30.0,33.0,57.0,0.0,2.0,1.0,3.0,8.0,1.0,0.0,1.0,8.0,16.0,28.44,153.2,16.0,8.0,844e79d1,D Brevis,,,,,,,1070665.0,,,,,,110871.0,1d9d1c88-b1d1-4f4b-ae9a-c58a9d5e61bf,,,,,,10,0,0
D Ferreira,3.0,3.0,0.0,9.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,3.0,3.0,64.29,0.0,0.0,f0af99a7,D Ferreira,,,,,,,698315.0,,,,2132017.0,,60564.0,,,,,,,3,0,0
D Jansen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,53.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,13.25,53.0,c90346a0,D Jansen,,,,,,,1058501.0,,,,,,,,,,,,,2,0,0
D Jansen,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,53.0,1.0,0.0,1.0,53.0,0.0,0.0,0.0,13.25,53.0,8dc152d1,Duan Jansen,,,,,,,595954.0,,,,1382985.0,,60396.0,,,,,,,2,0,0
D Kalyankrishna,3.0,1.0,0.0,3.0,8.0,0.0,0.0,3.0,0.0,0.0,3.0,48.0,87.0,2.0,0.0,1.0,30.0,1.0,3.0,37.5,10.88,43.5,94bc776b,D Kalyankrishna,,,,,,,30719.0,,,,,,,,,,,,,1,0,0
D Padikkal,74.0,74.0,3.0,1806.0,1430.0,192.0,56.0,101.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,71.0,25.44,126.29,0.0,0.0,2c25d4f5,D Padikkal,iGeJOCJAQLeihUiJIXzi1bJ0VIiKcOy,,,,,,1119026.0,,,,1728164.0,,,,,,,5430.0,,29,0,2
D Pretorius,7.0,5.0,1.0,44.0,28.0,3.0,3.0,22.0,0.0,0.0,7.0,150.0,238.0,6.0,0.0,2.0,30.0,4.0,11.0,157.14,9.52,39.67,11614d87,D Pretorius,,,,,,,327830.0,,,,247668.0,,,,,,,837.0,,3,0,1
D Salunkhe,5.0,3.0,1.0,33.0,24.0,5.0,0.0,26.0,0.0,0.0,5.0,47.0,78.0,1.0,0.0,1.0,21.0,2.0,16.5,137.5,9.96,78.0,0264c10e,D Salunkhe,,,,,,,278482.0,,,,,,,,,,,,,2,0,0
D Wiese,18.0,11.0,6.0,148.0,101.0,12.0,7.0,47.0,0.0,0.0,15.0,296.0,440.0,16.0,0.0,4.0,33.0,5.0,29.6,146.53,8.92,27.5,aa8d28ae,D Wiese,,,,,,,221140.0,,,13540.0,91190.0,,,,,,,869.0,,9,0,0
